Time(mS),ppg,LPF1,LPF2,LPF3,LPF4,Acc x(m/s2),Acc y(m/s2),Acc z(m/s2)
4740,2.232,28348,21605,14158,22102,0.100849,-0.0139336,0.061373
4760,2.188,28357,21614,14166,22111,0.0435041,-0.000730361,-0.0533185
4780,2.191,28368,21622,14174,22121,0.0733056,0.00823531,-0.111504
4800,2.268,28378,21631,14183,22132,0.0949011,0.0165074,0.234864
4820,2.484,28387,21638,14190,22142,0.0431452,0.0282524,0.0818972
4840,2.797,28392,21643,14195,22150,0.0596904,0.0346504,0.0665265
4860,3.073,28395,21644,14198,22156,0.0346458,0.034404,0.246045
4880,3.179,28394,21643,14198,22158,-0.0209806,0.0296319,0.269673
4900,3.166,28389,21639,14196,22158,-0.050148,0.0217754,0.126873
4920,3.034,28381,21633,14191,22155,-0.0362201,0.016655,0.177165
4940,2.839,28372,21625,14185,22149,-0.0567119,0.0123451,0.198377
4960,2.618,28361,21617,14178,22142,-0.0543455,0.00732874,0.170459
4980,2.461,28352,21609,14172,22134,-0.0542556,0.00276385,0.216524
5000,2.372,28344,21603,14165,22128,-0.0830255,-0.00597314,0.20652
5020,2.337,28339,21599,14161,22122,-0.0968016,-0.0105227,0.0253148
5040,2.306,28338,21599,14159,22120,-0.0846483,-0.00954608,0.0579976
5060,2.243,28341,21602,14160,22121,-0.0938082,-0.011063,-0.0644408
5080,2.218,28350,21609,14163,22125,-0.0892511,-0.0156449,-0.235822
5100,2.229,28363,21620,14170,22134,-0.0794961,-0.0192919,-0.243113
5120,2.258,28381,21635,14180,22146,-0.0269176,-0.0171958,-0.261747
5140,2.313,28402,21653,14192,22162,0.00488743,-0.0119421,-0.268494
5160,2.37,28426,21672,14207,22180,0.00664513,-0.0112352,-0.326182
5180,2.395,28451,21693,14222,22201,0.0514179,-0.0114236,-0.270541
5200,2.384,28476,21713,14237,22221,0.0556082,0.00249866,-0.34003
5220,2.352,28499,21732,14252,22241,0.106175,0.0172065,-0.262899
5240,2.281,28519,21749,14265,22258,0.161857,0.0259141,-0.112635
5260,2.242,28535,21763,14275,22272,0.133991,0.0315612,-0.0938261
5280,2.218,28546,21772,14282,22282,0.112027,0.030325,-0.130607
5300,2.181,28552,21777,14284,22286,0.124821,0.032845,0.0557138
5320,2.162,28551,21776,14282,22285,0.13403,0.0384091,0.0751869
5340,2.146,28544,21771,14276,22277,0.126979,0.0331907,0.0830937
5360,2.128,28532,21761,14265,22263,0.0792859,0.0276965,0.109065
5380,2.137,28514,21747,14251,22244,0.0185743,0.0137724,0.00647115
5400,2.139,28493,21730,14233,22220,-0.0208373,-0.00974308,-0.052426
5420,2.137,28469,21711,14213,22192,-0.0223703,-0.0308183,0.115892
5440,2.152,28444,21690,14191,22162,-0.02141,-0.0447407,0.129221
5460,2.152,28419,21670,14169,22131,-0.0506974,-0.0458021,0.122662
5480,2.153,28395,21650,14148,22100,-0.0904598,-0.039114,0.00494479
5500,2.151,28373,21633,14128,22072,-0.100481,-0.0339317,-0.0179765
5520,2.145,28355,21618,14110,22047,-0.0926893,-0.0273745,0.0441698
5540,2.163,28342,21607,14096,22025,-0.105173,-0.0300506,0.0181365
5560,2.3,28332,21599,14085,22009,-0.107948,-0.0287766,-0.171473
5580,2.524,28328,21595,14077,21998,-0.0949279,-0.0359406,-0.113199
5600,2.812,28328,21594,14073,21992,-0.0754372,-0.031946,-0.0998871
5620,3.004,28331,21596,14072,21992,-0.0119222,-0.0289498,0.0395755
5640,3.024,28338,21601,14074,21996,0.0107256,-0.0215971,0.179997
5660,2.923,28347,21607,14077,22003,0.0181651,-0.0114961,0.107527
5680,2.744,28357,21614,14082,22013,0.0295248,0.000899224,0.230368
5700,2.538,28368,21622,14088,22025,0.00775183,0.0174742,0.226335
5720,2.379,28379,21629,14094,22037,0.0222491,0.0288979,0.30654
5740,2.256,28389,21636,14100,22050,-0.0168181,0.0258774,0.305191
5760,2.176,28398,21643,14105,22061,-0.0243732,0.0207732,0.296825
5780,2.151,28406,21649,14111,22071,-0.0196167,0.0068622,0.279696
5800,2.144,28415,21655,14116,22081,-0.0366679,-0.0106002,0.2208
5820,2.145,28423,21662,14122,22090,-0.0373727,-0.0250943,0.235207
5840,2.158,28433,21670,14128,22098,-0.0912708,-0.0412041,-0.00281988
5860,2.204,28445,21681,14136,22107,-0.0667069,-0.0380933,0.0168959
5880,2.254,28459,21693,14146,22117,-0.0862162,-0.0369986,-0.0116892
5900,2.309,28477,21709,14158,22128,-0.0944326,-0.0261211,-0.160528
5920,2.316,28497,21727,14173,22142,-0.0462952,-0.0238867,-0.09305
5940,2.309,28521,21748,14190,22157,-0.0773488,-0.0255405,-0.177178
5960,2.265,28547,21772,14209,22174,-0.0543673,-0.0206102,-0.364336
5980,2.24,28576,21798,14230,22194,0.00335842,-0.0260279,-0.449736
6000,2.208,28605,21825,14252,22214,0.057932,-0.0353639,-0.208836
6020,2.176,28635,21851,14274,22235,0.119463,-0.04032,0.074662
6040,2.153,28663,21877,14294,22255,0.0692916,-0.0309617,-0.11108
6060,2.134,28689,21900,14312,22274,0.09273,-0.00309559,-0.152969
6080,2.153,28710,21919,14327,22289,0.0764374,0.00814976,-0.2822
6100,2.127,28727,21933,14338,22302,0.141255,0.0181263,-0.124273
6120,2.114,28738,21943,14344,22309,0.196736,0.0158178,0.139139
6140,2.138,28744,21947,14344,22312,0.158418,0.0119504,0.251819
6160,2.138,28743,21945,14340,22309,0.101653,0.0170069,0.198396
6180,2.146,28737,21938,14331,22302,-0.0295215,0.00985677,-0.0597903
6200,2.141,28725,21927,14317,22289,-0.0253924,0.0124349,-0.25519
6220,2.134,28710,21913,14300,22273,0.0122956,-0.00600933,-0.0998939
6240,2.142,28693,21896,14282,22253,0.016171,-0.0211888,0.00333231
6260,2.172,28675,21878,14262,22232,-0.00796576,-0.0418364,-0.0567928
