Time(mS),ppg,LPF1,LPF2,LPF3,LPF4,Acc x(m/s2),Acc y(m/s2),Acc z(m/s2)
4800,2047,25472,15365,21717,15121,-0.000218135,0.213149,0.485748
4820,2047,25455,15354,21697,15102,0.0145611,0.104289,0.216079
4840,2047,25437,15342,21675,15081,-0.0180686,-0.0853942,0.0373302
4860,2024,25418,15329,21652,15059,0.0274108,-0.0958412,0.208272
4880,2024,25400,15316,21630,15038,0.0577928,0.0213077,0.242362
4900,2024,25385,15305,21610,15020,-0.00555659,0.190318,0.409805
4920,2024,25375,15298,21595,15006,0.0403248,0.0721097,0.381091
4940,2024,25372,15295,21586,14998,-0.0415022,-0.108218,0.0970047
4960,2024,25374,15295,21582,14997,-0.0148364,-0.0521888,0.426294
4980,2024,25382,15299,21583,15000,0.0379012,-0.0270161,0.682986
5000,-2022,25393,15306,21588,15007,-0.0578207,0.0320505,0.263244
5020,-2017,25407,15314,21595,15017,-0.121282,-0.0243796,0.0175343
5040,-2017,25422,15322,21604,15029,-0.122927,-0.151315,-0.151336
5060,-2017,25437,15332,21614,15043,0.031721,-0.0931459,-0.04404
5080,-2022,25454,15342,21627,15059,0.0154509,-0.132225,-0.139892
5100,-2022,25471,15353,21641,15076,-0.0680278,-0.0287156,-0.273316
5120,-2017,25488,15365,21656,15093,-0.125922,-0.0532811,-0.278828
5140,-2017,25503,15375,21669,15110,-0.0285566,-0.128456,-0.564607
5160,-2022,25516,15384,21681,15124,0.0751529,-0.0790111,-0.655789
5180,-2022,25526,15392,21692,15136,0.126235,-0.0540583,-0.600322
5200,-2017,25534,15397,21700,15145,0.0675453,0.153396,-0.27571
5220,-2017,25540,15401,21706,15152,0.0669616,0.0507545,-0.452657
5240,-2022,25544,15405,21710,15156,-0.0294955,-0.10544,-0.723386
5260,-2017,25548,15408,21714,15160,0.0639964,0.0183235,-0.188256
5280,-2017,25551,15411,21717,15164,0.143725,0.153803,0.131958
5300,-2017,25554,15413,21721,15167,0.00263852,0.186895,-0.0371281
5320,-2017,25558,15416,21725,15169,-0.0241327,0.168205,0.0119009
5340,-2017,25561,15417,21729,15172,-0.0270568,0.0612594,0.0916039
5360,-2021,25564,15419,21732,15174,-0.0382118,-0.00585636,0.229559
5380,-2022,25566,15420,21736,15176,-0.02538,0.0558283,0.428053
5400,-2017,25568,15421,21738,15177,0.000123219,0.0994452,0.273916
5420,-2017,25568,15421,21740,15177,-0.117945,0.0178549,0.206998
5440,-2022,25565,15420,21739,15176,-0.00263894,-0.0547727,0.16146
5460,-2022,25561,15416,21738,15175,0.0657631,-0.0952468,0.133622
5480,-2017,25553,15411,21735,15172,0.0305312,-0.00185363,0.176919
5500,-2017,25543,15404,21730,15169,0.0416301,0.0935631,0.146083
5520,-2022,25530,15395,21723,15163,-0.0206866,-0.0476268,-0.0112231
5540,-2022,25513,15383,21714,15156,0.00780523,-0.116044,-0.223717
5560,1963,25494,15370,21702,15147,0.0789735,-0.022781,0.217116
5580,2047,25473,15355,21689,15137,0.0558764,0.088386,0.411579
5600,2031,25450,15340,21676,15129,-0.0364229,0.141534,0.128457
5620,2031,25424,15321,21662,15121,-0.0678278,0.0558724,0.0430909
5640,2047,25405,15307,21653,15117,-0.00377005,-0.0419613,-0.12806
5660,2024,25388,15295,21646,15115,0.00299362,-0.0281069,0.0374413
5680,2024,25374,15285,21641,15116,0.0417768,0.0135462,0.0591924
